ID,Cod_via,Nombre,Responsable,Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,Cat_6,Cat_7,Cat_8,Cat_9,Sector,Admon,Eje_adicio,Eje_adic_2,d_cat_i,d_cat_ii,d_cat_iii,d_cat_iv,d_cat_v,d_cat_vi,d_cat_vii,d_cat_viii,d_cat_ix,Latitud,Longitud,Departamento,gcd_departamento
15,4006,PIPIRAL,ConcesiOn ANI,16600,33000,22500,39400,43000,65800,85100,0,0,BogotA (El Portal) - Villavicencio,ConcesiOn Coviandes S.A.,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 Ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,CategorIa VII,,,4.200062781,-73.72128811,Meta,50
16,4006,PUENTE QUETAME (NARANJAL),ConcesiOn ANI,10200,26600,20100,39400,45900,52900,58800,0,0,BogotA (El Portal) - Villavicencio,CONCESION COVIANDES,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 Ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,CategorIa VII,,,4.279934064,-73.834767756,Cundinamarca,25
17,5009,LA CABAnA,ConcesiOn ANI,9600,15100,23400,34300,46900,47300,0,0,0,BogotA (Los Patios) - Guasca,PERIMETRAL ORIENTAL DE BOGOTA S.A.S,8700,8400,AutomOviles y camperos,CategorIa II Camiones y Buses  2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,,,,4.809532136,-73.9455328669999,Cundinamarca,25
18,5009,LOS PATIOS,ConcesiOn ANI,9600,15100,23400,34300,46900,47300,0,0,0,BogotA (Los Patios) - Guasca,INVIAS – VIPSA,8700,8400,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 21 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,,,,4.663724514,-74.0105791759999,Cundinamarca,25
19,4517,EL COPEY,ConcesiOn ANI,7900,8700,20300,26700,30900,0,0,0,0,Bosconia - RIo AriguanI,Yuma concecionaria,9500,9100,AutomOviles y camperos,Camiones y buses 2 ejes pequenos,Camiones y buses 2 ejes grandes,3 y 4 Ejes,5 Ejes,,,,,10.060363098,-73.923828872,Cesar,20
20,5607,MACHETA,ConcesiOn ANI,8500,9200,19500,24700,27700,0,0,0,0,Brisas - Guateque,CONCESION DEL SISGA S.A.S.,8700,8400,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,,,,,5.077262984,-73.553427995,Cundinamarca,25
"21,6603,PICACHO,ConcesiOn ANI,8500,9300,19500,24800,27900,0,0,0,0,Bucaramanga - Cuestaboba,Autopista Bucaramanga - Pamplona S.A.S.,8700,8400,""AutomOviles, camperos y camionetas"",""Camiones , Buses y camiones 2 ejes ."",Camiones de 3 y 4 ejes.,Camiones 5 ejes.,Camiones de 3 y 4 ejes.,,,,,7.107993635,-72.968963707,Santander,68"
22,25505,BETANIA,Departamento,8200,10600,25000,34000,37700,0,0,0,0,Buga - AndalucIa,PISA Proyectos de Infraestructura S.A.,0,0,,,,,,,,,,3.972040719,-76.2533831599999,Valle del Cauca,76
23,4003,CAJAMARCA,INVIAS,8500,9300,19500,24800,27900,0,0,0,0,CalarcA - IbaguE,INVIAS,8400,8100,AutomOviles y camperos,CategorIa II Buses y Busetas  2 ejes pequenos,CategorIa III Camiones y buses  2 ejes grandes,CategorIa IV Camiones de 3 y 4 ejes,CategorIa V Camiones de 5 ejes,,,,,4.435821773,-75.502565613,Tolima,73
24,2505,CIAT,INVIAS,8700,10400,28100,36400,41900,0,0,0,0,Cali - Palmira - Buga,INVIAS,10000,19800,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,3.523539983,-76.3431637289999,Valle del Cauca,76
25,2505,EL CERRITO,INVIAS,8600,10300,27800,36300,41800,0,0,0,0,Cali - Palmira - Buga,INVIAS,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,,,,,3.713096157,-76.3191613089999,Valle del Cauca,76
26,2505,ESTAMBUL,INVIAS,8700,10400,28100,36400,41900,0,0,0,0,Cali - Palmira - Buga,INVIAS,10000,19800,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,3.500722199,-76.443027164,Valle del Cauca,76
27,2301,CENCAR,INVIAS,8600,10300,27800,36300,41800,0,0,0,0,Cali - Yumbo,INVIAS,10000,19800,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 y 4 ejes,5 Ejes,,,,,3.557383478,-76.4625707269999,Valle del Cauca,76
28,X2,BAZURTO  (MANGA),Distrito,2300,4100,0,9600,14800,0,0,0,0,Calle 29,CONVIAL,0,0,,,,,,,,,,10.40678505,-75.526546588,BolIvar,13
29,X3,CORREDOR PORTUARIO,Distrito,6400,7100,0,20000,22200,0,0,0,0,Calle 6,,0,0,,,,,,,,,,10.957823864,-74.7667594039999,AtlAntico, 8
