No.,SiglaProyecto,NombreProyecto,NombreEstacionPeaje, 2016Ene , 2016Feb , 2016Mar , 2016Abr , 2016May , 2016Jun , 2016Jul , 2016Ago , 2016Sep , 2016Oct , 2016Nov , 2016Dic , 2017Ene , 2017Feb , 2017Mar , 2017Abr , 2017May , 2017Jun , 2017Jul , 2017Ago , 2017Sep , 2017Oct , 2017Nov , 2017Dic , 2018Ene , 2018Feb , 2018Mar , 2018Abr , 2018May , 2018Jun , 2018Jul , 2018Ago , 2018Sept , 2018Oct , 2018Nov , 2018Dic 
58,CS,CoRDOBA - SUCRE,LAS FLORES,338197,293907,322998,297445,307021,303632,311663,314944,310695,319818,314431,361104,10768.9677419355,9852.14285714286,9863.87096774194,10049.0333333333,9681.8064516129,9969.63333333333,10070.5483870968,9961.77419354839,10145.2333333333,10089.6451612903,10366.0666666667,11598.0322580645,333117,272515,310113,297108,295749,287894,308496,306438,299307,314521,302765,349194
61,CS,CoRDOBA - SUCRE,LOS GARZONES 1 Y LOS GARZONES 2,469804,401559,452539,406289,434116,438555,451228,446984,428369,445569,437048,489650,15138.2580645161,13916.1428571429,14091.7096774194,14421.5666666667,13840.935483871,14316.7,14444.5161290323,14449.7096774194,13944.1666666667,13885.935483871,14350.4666666667,15392.8387096774,457150,382433,437121,415892,423826,419963,441564,440409,420007,446850,430763,481567
64,GIC,GIRARDOT - IBAGUE - CAJAMARCA,CHICORAL,340038,224868,290171,232048,256354,255944,278906,284510,248617,282117,270470,340845,11003.4838709677,8112.89285714286,8190.45161290322,9719.36666666667,7732.48387096774,9594.03333333333,9797.45161290323,9192.64516129032,8679.96666666667,9510.90322580645,9044.76666666667,11316.1612903226,340259,227038,286422,252995,249418,282311,298503,286491,258763,297913,282679,348521
65,GIC,GIRARDOT - IBAGUE - CAJAMARCA,GUALANDAY,499054,359078,444072,377511,408079,404752,432111,439144,398181,441263,423886,515713,16372.7419354839,12885.2142857143,12913.6129032258,14614.2,12501.1290322581,14618.1,14659.8064516129,14020.8387096774,13486.6,14368.7419354839,14175.9,17058.3225806452,509402,362739,442517,399829,398383,433402,451034,430513,395993,448546,430206,515008
66,PL,PEREIRA - LA VICTORIA,CERRITOS II,356980,285596,331024,290987,310210,293582,317057,338022,303469,324704,320480,370572,11729.0967741935,10024.25,10002.6774193548,10728.2,9879.1935483871,10563.5666666667,10844.5161290323,10713.0322580645,10058.7333333333,10478.8387096774,10766.7666666667,12279.4516129032,365220,270068,318382,297504,296904,304340,329930,328785,297487,319386,314930,366352
67,RPC,RUMICHACA - PASTO - CHACHAGUI,CANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,RPC,RUMICHACA - PASTO - CHACHAGUI,DAZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,RPC,RUMICHACA - PASTO - CHACHAGUI,EL PLACER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,RC,RUTA CARIBE,BAYUNCA,116947,109844,119595,112577,111040,112857,115163,118406,114666,116168,114654,128365,3872.35483870968,4007.75,3913.58064516129,3838.06666666667,3759.77419354839,3885.93333333333,3734.74193548387,3862.77419354839,3825.16666666667,3682,3662.93333333333,3855.16129032258,114486,104573,114730,113303,110741,109256,112698,110426,104440,112553,107473,119082
71,RC,RUTA CARIBE,GALAPA,229113,210508,229872,215015,219500,213009,223793,221567,213679,222279,218493,243956,7161.1935483871,7320.42857142857,7491,7210.63333333333,7102.09677419355,7252.6,7471.03225806452,7548.32258064516,7374.2,7295.22580645161,7562.5,7887.87096774194,228982,203910,238032,224850,224452,218380,228815,233013,222630,228351,223998,242437
72,RC,RUTA CARIBE,GAMBOTE,208300,158315,186899,156479,160005,158750,163172,170170,157297,165673,159844,191344,6432.70967741936,5179.82142857143,5225.12903225806,5970.03333333333,5176.70967741936,5580.73333333333,5530.22580645161,5324.16129032258,5230.06666666667,5361.54838709677,5412.9,6336.67741935484,205424,149429,181586,168728,161927,164692,173637,171901,159108,172247,161680,197562
73,RC,RUTA CARIBE,PASACABALLOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2936.86206896552,3084.3,2763.61290322581,2973.83333333333,2927.74193548387,2828.93548387097,2786.76666666667,2801.58064516129,2824.5,3134.61290322581,101880,76785,90347,84457,80123,81435,86212,88206,81762,87890,84942,96527
74,RC,RUTA CARIBE,PONEDERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,RC,RUTA CARIBE,SABANAGRANDE,306516,272304,300536,286384,297518,294415,304546,311820,302202,314346,307853,350405,10421.6129032258,10545.4642857143,10319.8387096774,10464.7666666667,10090.8064516129,10273.7333333333,10277.5161290323,10261.5161290323,10174.1666666667,10190.0967741935,10346.3,11113.9032258065,321140,286541,321151,301752,307127,294885,308236,309329,299989,315034,309205,338107
76,RC,RUTA CARIBE,TURBACO,481638,440258,480517,455233,474672,457723,482933,481812,468534,471112,442580,516538,16162.9032258065,15956.0714285714,16719.6451612903,16749.5666666667,16580.0322580645,16781.2333333333,17027.4838709677,17040.8387096774,16578.8666666667,16872.2580645161,16154.8,18137.7741935484,540918,478475,542173,521376,525838,506831,540190,543660,524894,538207,503249,578335
77,RDS1,RUTA DEL SOL 1,EL KORAN,185748,103027,135538,99077,108304,112837,117715,121292,105371,125948,123419,168667,5832,3515.89285714286,3607.96774193548,4493.13333333333,4087.41935483871,4390.6,4191.51612903226,4263.03225806452,3856.36666666667,4455.67741935484,4370.3,5952.61290322581,191762,103556,134299,119646,113442,126014,131813,127193,111517,129817,128384,190185
78,RDS2,RUTA DEL SOL SECTOR 2,AGUAS NEGRAS,197229,120500,147347,124425,125077,134885,131106,137888,128349,142278,135228,178389,6382.09677419355,4252.96428571429,4097.48387096774,4823,4006.77419354839,4563.13333333333,4389.09677419355,4300.54838709677,4283.5,4691.55,0,0,449606,295750,394704,327786,336838,383911,401444,395070,342492,389079,384287,564309
79,RDS2,RUTA DEL SOL SECTOR 2,GAMARRA,0,0,0,15697200,27052700,18442400,16223200,57026900,104667700,40580900,61982200,34759400,1402.1935483871,1414.67857142857,1288.64516129032,1314.2,1254.54838709677,1201.56666666667,1270.09677419355,1248.67741935484,1244.96666666667,1277.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,RDS2,RUTA DEL SOL SECTOR 2,LA GOMEZ,161196,100913,115893,100227,93041,103249,100873,101799,96511,104881,102179,131745,4895.45161290323,3149.92857142857,3046.70967741935,3602.06666666667,2963.38709677419,3282.7,3181.48387096774,3164.22580645161,3119.26666666667,3483.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,RDS2,RUTA DEL SOL SECTOR 2,MORRISON,272137,179564,207652,183641,179257,186452,178316,191195,179391,192399,188696,233909,8510.22580645161,5970.60714285714,5851.48387096774,6684.96666666667,5803.22580645161,6309.43333333333,6085.16129032258,5990.90322580645,6067.86666666667,6543.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,RDS2,RUTA DEL SOL SECTOR 2,PAILITAS,251656,155982,188816,163333,161484,167053,159179,173029,163306,176583,172427,214955,7981.77419354839,5304,5125.8064516129,6033.3,5091.87096774194,5660.66666666667,5452.38709677419,5325,5331.03333333333,5835.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,RDS2,RUTA DEL SOL SECTOR 2,PLATANAL,78224,58097,67922,66343,64141,64349,60989,67511,61066,67328,65985,73677,2417,1984.28571428571,1902,2129.6,1946.87096774194,2064.2,2050.70967741935,2089,2118.7,2088.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,RDS2,RUTA DEL SOL SECTOR 2,ZAMBITO,169766,105671,125325,108724,108422,116855,115016,120791,117151,128699,118375,151874,5610.32258064516,3584.71428571429,3441.8064516129,4038.33333333333,3351.90322580645,3804.36666666667,3654.29032258065,3601.35483870968,3614.66666666667,3939.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,RDS3,RUTA DEL SOL SECTOR 3,EL COPEY,211825,131599,161149,136975,140858,146092,146860,154534,144892,157618,156959,190743,7251.77419354839,5118.46428571429,5108.09677419355,5465.63333333333,4948.64516129032,5316.06666666667,4932.03225806452,4783.61290322581,4716.66666666667,5047.12903225806,4953.4,6006.32258064516,219416,132320,163364,160105,154196,163544,167693,154902,145767,162046,154900,191343
86,RDS3,RUTA DEL SOL SECTOR 3,EL DIFICIL,87705,67980,75815,70197,65206,68259,69755,80034,79591,87757,90128,97550,3530.96774193548,3290.82142857143,3158.41935483871,2521.73333333333,2482.1935483871,2644.33333333333,2275.03225806452,2146.29032258065,2172.36666666667,2218.29032258065,2317.4,2628.41935483871,86695,61526,74541,70055,67876,74031,74735,71890,68799,73543,71922,85123
87,RDS3,RUTA DEL SOL SECTOR 3,LA LOMA,211722,132343,155130,133243,129142,137178,130107,143952,135997,150764,146362,175567,6744.09677419355,4621.78571428572,4706.06451612903,5345.53333333333,4791.96774193548,5190.93333333333,4708.35483870968,4535.35483870968,4587.23333333333,4850,4763.23333333333,5797.16129032258,215439,131095,161002,151813,150669,164078,164480,154629,147618,160476,153004,190995
88,RDS3,RUTA DEL SOL SECTOR 3,PUENTE PLATO,82395,62384,69979,62315,57209,59130,58659,60767,58477,62172,63233,73248,2531.03225806452,1956.96428571429,1951.93548387097,2287.46666666667,1950.51612903226,2100.46666666667,2049.77419354839,1962.51612903226,1964.06666666667,2020.45161290323,2072.23333333333,2378.1935483871,80253,55564,69226,64450,62389,68446,67911,65794,63330,67286,64718,77509
89,RDS3,RUTA DEL SOL SECTOR 3,TUCURINCA,234135,151783,183028,158484,163421,167776,169309,172250,162009,174783,169189,205548,7573.87096774194,5492.32142857143,5447.51612903226,6206.4,5439.54838709677,5828.4,5676.54838709677,5557.61290322581,5494.8,5831.58064516129,5695.03333333333,6864.83870967742,245396,155709,189006,184845,179888,188059,193380,179758,169771,186504,179904,218307
90,RDS3,RUTA DEL SOL SECTOR 3,VALENCIA,112179,88418,100468,94017,96844,94989,102373,98478,92839,99347,97008,115633,3621.22580645161,3123.53571428571,3068.83870967742,3592.56666666667,3211.25806451613,3263.56666666667,3229.77419354839,3137,3041.8,3173.90322580645,3205.03333333333,3784.25806451613,114506,86696,102437,105465,99249,100226,105625,100389,94410,102661,101740,120647
91,TVA,TRANSVERSAL DE LAS AMERICAS,CEDROS,75446,61695,72841,61000,64686,66588,68352,66105,64850,68420,66984,73872,2373.87096774194,2023,2057.67741935484,2227.66666666667,1874.64516129032,2055.76666666667,2017.1935483871,1991.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,TVA,TRANSVERSAL DE LAS AMERICAS,PURGATORIO,123889,89737,105636,85919,92443,96542,94673,95120,89786,97696,94204,110439,3806.61290322581,2979.82142857143,2993.48387096774,3386.16666666667,2960.12903225806,3230.4,3153.09677419355,3061.04545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,ZMB,ZONA METROPOLITANA DE BUCARAMANGA,LEBRIJA,248170,223071,238804,135135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,ZMB,ZONA METROPOLITANA DE BUCARAMANGA,RIONEGRO,171327,121789,139172,72496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,M2,AUTOPISTA AL MAR 2,CIRILO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54938,49415,60411
96,P1,AUTOPISTA CONEXIoN PACIFICO 1,AMAGA,226676,188467,226552,196195,219106,210008,217154,231049,199433,217315,201518,238203,7537.54838709677,6637.82142857143,6573.96774193548,7155.43333333333,6743.8064516129,7276.9,7347.25806451613,7010.25806451613,6116.36666666667,6984.90322580645,7346.26666666667,8423.87096774194,2100717800,1663976350,2030450300,1821062100,1226332200,1530527600,1773198150,1899270950,1758902300,1852465800,1866120750,2185983800
97,P2,AUTOPISTA CONEXIoN PACIFICO 2,LA PINTADA,29014,22854,35457,32762,31673,37547,41692,61968,49057,49555,29848,30365,1284.41935483871,1861.39285714286,1171.83870967742,1201.43333333333,1046.83870967742,1207.63333333333,1083.77419354839,1081.35483870968,1053.73333333333,1087.35483870968,1044.6,1196.06451612903,39843,29903,36662,34652,52407,44221,42558,47553,55171,37926,39985,42729
98,P2,AUTOPISTA CONEXIoN PACIFICO 2,PRIMAVERA,209178,136130,170204,121431,150072,137829,145076,141061,119460,146553,158726,196501,6742.67741935484,5012.96428571429,4962.25806451613,5816.2,4962.09677419355,5807.7,5716.1935483871,5646.83870967742,5179.53333333333,5625.45161290323,5555.1,6758.1935483871,208437,138205,177809,159993,167315,177063,189962,183690,154854,175992,169323,206170
99,P3,AUTOPISTA CONEXIoN PACIFICO 3,ACAPULCO,97515,76217,86264,75724,83620,83344,90354,86790,82716,88979,90183,103942,3343.48387096774,2838.64285714286,2868.03225806452,3005.96666666667,2912.96774193548,2903.66666666667,2921.32258064516,2767.74193548387,2589.06666666667,2559.61290322581,2998.96666666667,3472.51612903226,139093,136699,129099,109589,120429,112631,121432,119666,106213,115864,115550,129337
100,P3,AUTOPISTA CONEXIoN PACIFICO 3,SUPIA,181113,120263,166732,116819,135567,131002,139575,156531,127075,144717,137236,168118,5905.67741935484,4191.75,4164.54838709678,4908.1,3984.1935483871,4878.76666666667,4762.58064516129,4734.74193548387,4279.7,4598.1935483871,4527.36666666667,5616.45161290323,176360,108525,141348,130131,120885,135376,147951,145196,124476,142380,133701,164911
101,RM,AUTOPISTAS AL RIO MAGDALENA 2,PUERTO BERRIO,54698,37056,46528,38652,42022,45195,45056,44723,40546,46189,44390,55099,1957.70967741936,1385,1370.67741935484,1549.26666666667,1348.67741935484,1472.53333333333,1452.12903225806,1386.12903225806,1390.96666666667,1483.06451612903,1485.63333333333,1872.8064516129,60148,40511,48889,46666,46222,53995,50340,48233,46965,51494,48311,60096
102,BBY,BUCARAMANGA - BARRANCABERMEJA - YONDo,RIO SOGAMOSO,165769,137965,152381,139862,144753,148031,155475,152476,145218,149761,145671,171852,5365.67741935484,4744.07142857143,4582.1935483871,4820.63333333333,4489.03225806452,4822.9,4850.67741935484,4748.58064516129,4684.9,4954.16129032258,4994.86666666667,3313.03225806452,112962,114889,137239,132045,131497,138800,142366,141883,130827,138482,137159,163816
103,BP,BUCARAMANGA - PAMPLONA,EL PICACHO,0,0,0,0,0,0,63458,67890,62212,67676,65586,78025,2545.51612903226,2136,2060.54838709677,2327.46666666667,2137.03225806452,2235.06666666667,2260,2239.03225806452,2185.33333333333,2372.38709677419,2351.03333333333,2711.03225806452,82269,59850,71445,69528,51792,68859,73328,71906,66187,71078,67532,87229
104,BL,BUGA - LOBOGUERRERO,LOBOGUERRERO,0,0,0,0,0,0,0,0,0,114614,159694,162914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,CB2,CARTAGENA - BARRANQUILLA CIRCUNVALAR DE LA PROSPERIDAD,GALAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7029
106,CB2,CARTAGENA - BARRANQUILLA CIRCUNVALAR DE LA PROSPERIDAD,JUAN MINA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,M1,CONCESIoN AUTOPISTA AL MAR 1,PALMITAS,0,0,0,0,0,0,113653,102756,94356,114494,103254,111372,4675.25806451613,3266.75,3219.29032258065,3621.03333333333,3353.87096774194,3640.66666666667,3879.61290322581,3412.54838709677,3243.4,3660.74193548387,3691.63333333333,4325.61290322581,122738,91246,114366,102598,110179,132218,128548,108994,105747,114501,111665,137566
108,M1,CONCESIoN AUTOPISTA AL MAR 1,SAN CRISTOBAL,0,0,0,0,0,0,111671,102953,95336,113155,103944,136925,4202.35483870968,3275.10714285714,3241.54838709677,3873.13333333333,3101.16129032258,3756.43333333333,3794.93548387097,3441.03225806452,3335.93333333333,3526.87096774194,3679.53333333333,4824.93548387097,115449,92218,123030,95059,100790,140738,116300,109774,102910,114361,111805,153358
109,GHP,GIRARDOT - HONDA - PUERTO SALGAR,BRISAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,GHP,GIRARDOT - HONDA - PUERTO SALGAR,CAMBAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3637,8251,8460,6788,6573,8637,9907,11241,10839,13427,13785,22697
111,GHP,GIRARDOT - HONDA - PUERTO SALGAR,GUATAQUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,IP-AN,IP - ACCESOS NORTE,ANDES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40241.8709677419,1088479,1013585,1141929,1075302,1141293,1117738,1113533,1170456,1109877,1131615,1097962,1245613
113,IP-AN,IP - ACCESOS NORTE,FUSCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3415.87096774194,83214,95321,104468,92256,101181,98963,92087,122218,123667,114977,116932,125032
114,IP-AN,IP - ACCESOS NORTE,UNISABANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.41935483871,6712,6497,6258,6220,5627,5477,5819,4441,4037,4690,5073,4812
115,IP-AB,IP - ANTIOQUIA BOLIVAR,CAIMANERA,0,0,0,0,0,0,3547,49557,42476,50342,51221,66137,3032.03225806452,1578.14285714286,1589.61290322581,2404.76666666667,1414.25806451613,1749.3,1718.12903225806,1601.87096774194,1387.9,1551.83870967742,1578.3,2007.83870967742,89593,40293,61388,43498,42288,55883,54090,46704,39637,46811,44025,60317
116,IP-AB,IP - ANTIOQUIA BOLIVAR,CEDROS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778.11111111111,1755.5,1749.90322580645,1769.66666666667,2042.35483870968,61109,47349,58944,51514,58799,67981,59113,55198,54243,57076,53727,64190
117,IP-AB,IP - ANTIOQUIA BOLIVAR,LA APARTADA,167764,107243,129057,103840,110086,106122,97907,113156,98690,106531,102194,125142,4561.77419354839,3092.17857142857,3010,3597.13333333333,2822.90322580645,3210.13333333333,3101.54838709677,3261.67741935484,3003.03333333333,3153.61290322581,3037.1,4050.58064516129,154890,91808,116155,104712,78775,59339,102404,106610,93183,105480,102281,135689
118,IP-AB,IP - ANTIOQUIA BOLIVAR,MANGUITOS,0,0,0,0,0,28198,116586,138851,125569,134411,127987,157311,5545.61290322581,4090.03571428571,4070.41935483871,4614.23333333333,3988.61290322581,4348.23333333333,4193.09677419355,4084.29032258065,4049.9,4123.51612903226,4175,5052.51612903226,175756,110916,132792,122133,99084,80263,121014,124377,109983,124871,119806,150954
119,IP-AB,IP - ANTIOQUIA BOLIVAR,MATA DE CAÑA,135359,79026,105414,73636,83863,82108,85713,73147,64695,73969,70050,88102,3605.38709677419,2014.17857142857,2112.48387096774,2904.86666666667,2042.06451612903,2485.96666666667,2512.58064516129,2375.87096774194,2122.6,2256.83870967742,2279.23333333333,2790.54838709677,109344,54227,79789,61920,62764,78611,81659,73893,66819,76946,69842,90098
120,IP-AB,IP - ANTIOQUIA BOLIVAR,PURGATORIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2890.66666666667,2829.6,2925.29032258065,3020.8,3504.06451612903,117549,79774,96913,86736,82801,81844,91719,92291,85496,93664,90131,108378
121,IP-AB,IP - ANTIOQUIA BOLIVAR,SAN CARLOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,IP-AB,IP - ANTIOQUIA BOLIVAR,SAN ONOFRE,81662,57323,74191,54475,60597,59654,61792,61326,55921,56442,54804,66585,2366.48387096774,1790.85714285714,1817.96774193548,2266.73333333333,1781.87096774194,2005.2,1896.25806451613,1808.25806451613,1788.46666666667,1759.64516129032,1807.53333333333,2194.09677419355,75748,51664,63951,60540,56138,58363,62393,58692,53250,57009,55632,71468
123,IP-CM,IP - CAMBAO-MANIZALES,ALVARADO,181869,132747,154115,142040,147430,149079,154976,156819,144321,155354,149700,174197,5949,4710.60714285714,4715.09677419355,5085.6,4814.67741935484,5099.36666666667,5135.51612903226,5091.51612903226,4788.76666666667,4935.41935483871,4987.13333333333,5621.16129032258,248671,187535,231634,204391,136455,172753,201723,214975,199674,209782,213607,256115
124,IP-CM,IP - CAMBAO-MANIZALES,HONDA,170599,110976,141250,114929,124956,128373,132815,136506,120465,136745,130147,163719,5938.96774193548,4078.85714285714,4013.03225806452,4674,3885.93548387097,4427.90322580645,4466.38709677419,4325.90322580645,3987.13333333333,4363.64516129032,4327.26666666667,5336.93548387097,182806,117580,143443,125395,124952,136189,142909,134709,119229,134459,124465,152496
125,IP-CG,IP - CESAR - GUAJIRA,RINCON HONDO,0,0,0,0,36945,48376,47773,50120,47236,49677,48150,63978,1953.70967741935,1650.14285714286,1676.29032258065,1960.66666666667,1610.12903225806,1669.33333333333,1680.93548387097,1582.51612903226,1554.7,1581.83870967742,1589.56666666667,1984.67741935484,61769,24706,0,0,0,0,0,0,0,0,0,0
126,IP-CG,IP - CESAR - GUAJIRA,RIO SECO,0,0,0,0,0,0,0,0,19886,65878,63965,80973,2382.70967741935,1909.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,IP-CG,IP - CESAR - GUAJIRA,SAN DIEGO,0,0,0,0,31802,117870,121786,122692,115241,118965,115915,142983,4123.61290322581,3878.57142857143,3863.16129032258,3909.23333333333,3820.61290322581,3993,4039.93548387097,4031.48387096774,3933.46666666667,3973,4043.66666666667,4697.16129032258,133587,66367,0,0,0,0,0,0,0,0,0,0
128,IP-CG,IP - CESAR - GUAJIRA,SAN JUAN,147102,126869,142780,135545,137221,132636,142226,137910,133742,140636,139151,157732,4822.96774193548,4627.57142857143,4785.22580645161,4880.36666666667,4865.90322580645,5090.66666666667,5242.1935483871,5175.45161290323,5295.56666666667,5347.77419354839,5412.2,5985.64516129032,175205,93411,0,0,0,0,0,0,0,0,0,0
129,IP-MVM,IP - MALLA VIAL DEL META,CASETABLA,0,0,0,21976,49665,49647,46622,50142,48386,49909,45965,48549,1636.48387096774,1424.07142857143,1535.32258064516,1476.33333333333,1464.58064516129,1439.4,1474.96774193548,1507.35483870968,1454.6,1464.1935483871,1551.1,1610.29032258065,50357,39248,45629,44563,47445,44219,45197,45865,44774,50777,50660,54076
130,IP-MVM,IP - MALLA VIAL DEL META,IRACA,133083,95187,107072,94471,99765,101346,102774,107695,100733,106630,105113,120307,4208.45161290323,3420,3356.87096774194,3499.7,3229.61290322581,3273.46666666667,3384.22580645161,3585.03225806452,3297.63333333333,3447.35483870968,3535.66666666667,3942.90322580645,128739,89700,106323,97267,95708,95827,102794,99967,95431,102903,100835,119374
131,IP-MVM,IP - MALLA VIAL DEL META,LA LIBERTAD,122073,96967,101485,91502,92884,91569,94790,95629,91219,96307,91693,104334,3563,2948.67857142857,2996.12903225806,3076.13333333333,2894.32258064516,3016.6,2962.35483870968,3140.29032258065,2883.76666666667,3006.90322580645,3166.53333333333,3525.35483870968,110693,87220,101601,94072,97645,95810,97044,97142,91356,99182,99204,110471
132,IP-MVM,IP - MALLA VIAL DEL META,OCOA,343303,260550,287434,256722,273333,267507,272888,276056,259747,289876,280205,316550,10384.0967741936,8840.64285714286,8882.93548387097,9194.4,8550.90322580645,8315.63333333333,8672.03225806452,9067.1935483871,8420.93333333333,9196.74193548387,9135.4,10138.8064516129,312655,226355,279828,257296,262948,267758,279347,269267,266521,297714,287157,330469
133,IP-MVM,IP - MALLA VIAL DEL META,YUCAO,0,0,0,13858,31195,29592,26848,29389,28730,30060,29259,33194,1220.8064516129,1019.17857142857,1062.87096774194,1026.33333333333,1025.70967741935,990.866666666667,1005.54838709677,1044.61290322581,1048.46666666667,1024.35483870968,1118.86666666667,1161.06451612903,38143,28846,33241,32290,35395,32374,33799,34938,33305,35828,37878,40667
134,IP-NEG,IP - NEIVA GIRARDOT,EL PATA,0,0,0,0,0,41298,122051,110620,97886,115023,109246,139593,4447.06451612903,3162.64285714286,3234.48387096774,3959.76666666667,3230.48387096774,4005,4083.93548387097,3545.70967741935,3269.46666666667,3702.1935483871,3652.6,4714.32258064516,143371,89177,119658,102212,101423,122572,126207,110736,99276,117698,112811,145866
135,IP-NEG,IP - NEIVA GIRARDOT,FLANDES,0,0,0,0,0,64054,208313,175043,156165,183619,171610,218517,7307.32258064516,5097.42857142857,5281.09677419355,6306.03333333333,5346.32258064516,6624.86666666667,6816.87096774194,5855.93548387097,5269.33333333333,5849.29032258065,5740.46666666667,7394.58064516129,225875,141382,188927,158724,159660,195445,207789,182641,159812,188083,177255,231138
